# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
operator*;(row_vector x, vector y);real;327
operator*;(vector x, real y);vector;326
operator-;(vector x, real y);vector;327
operator+;(vector x, real y);vector;327
operator/;(vector x, real y);vector;328
operator./;(vector x, real y);vector;328
operator';(vector x);row_vector;329
operator*;(vector x, row_vector y);matrix;327
operator-;(vector x);vector;326
operator-;(vector x, vector y);vector;326
operator+;(vector x, vector y);vector;326
operator./;(vector x, vector y);vector;328
operator.*;(vector x, vector y);vector;328
ordered_logistic_log;(int k, real eta, vector c);real;361
ordered_logistic;~;real;361
ordered_logistic_rng;(real eta, vector c);int;361
owens_t;(real h, real a);real;311
pareto_ccdf_log;(reals y, reals y_min, reals alpha);real;387
pareto_cdf_log;(reals y, reals y_min, reals alpha);real;387
pareto_cdf;(reals y, reals y_min, reals alpha);real;387
pareto_log;(reals y, reals y_min, reals alpha);real;387
pareto;~;real;387
pareto_rng;(real y_min, real alpha);real;387
pareto_type_2_ccdf_log;(reals y, reals mu, reals lambda, reals alpha);real;388
pareto_type_2_cdf_log;(reals y, reals mu, reals lambda, reals alpha);real;388
pareto_type_2_cdf;(reals y, reals mu, reals lambda, reals alpha);real;388
pareto_type_2_log;(reals y, reals mu, reals lambda, reals alpha);real;388
pareto_type_2;~;real;388
pareto_type_2_rng;(real mu, real lambda, real alpha);real;388
Phi_approx;(real x);real;310
Phi;(real x);real;310
pi;();real;296
poisson_ccdf_log;(ints n, reals lambda);real;365
poisson_cdf;(ints n, reals lambda);real;365
poisson_cdf_log;(ints n, reals lambda);real;365
poisson_log;(ints n, reals lambda);real;365
poisson_log_log;(ints n, reals alpha);real;366
poisson_log;~;real;366
poisson_log_rng;(real alpha);int;366
poisson;~;real;365
poisson_rng;(real lambda);int;365
positive_infinity;();real;296
pow;(real x, real y);real;306
print;(T1 x1,..., TN xN);void;292
prod;(int x[]);real;318
prod;(matrix x);real;334
prod;(real x[]);real;318
prod;(row_vector x);real;334
prod;(vector x);real;334
qr_Q;(matrix A);matrix;342
qr_R;(matrix A);matrix;342
quad_form_diag;(matrix m, row_vector rv);matrix;332
quad_form_diag;(matrix m, vector v);matrix;332
quad_form;(matrix A, matrix B);matrix;331
quad_form;(matrix A, vector B);real;331
quad_form_sym;(matrix A, matrix B);matrix;332
quad_form_sym;(matrix A, vector B);real;332
rank;(int[] v, int s);int;324
rank;(real[] v, int s);int;324
rank;(row_vector v, int s);int;343
rank;(vector v, int s);int;343
rayleigh_ccdf_log;(real y, real sigma);real;385
rayleigh_cdf_log;(real y, real sigma);real;385
rayleigh_cdf;(real y, real sigma);real;385
rayleigh_log;(reals y, reals sigma);real;385
