# Samples Generated by Stan
# stan_version_major=1
# stan_version_minor=3
# stan_version_patch=0
# init=random
# append_samples=0
# seed=1405435606
# chain_id=2
# chain_id_src=user
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# equal_step_sizes=0
# epsilon_pm=0
# delta=0.5
# gamma=0.05
# nondiag_mass=0
# sample_file=./rstan_doc_ex_2.csv
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-19.2564,1,0.424728,2,0.0541272,1.25483,0.215326,-0.287895,0.877099,1.32695,-0.822819,2.54719,1.57131
-17.1466,6.28702e-05,1.59511,3,0.17953,1.00817,-0.5254,-0.579437,0.0615641,-0.454739,-1.13223,1.78769,0.0536222
-17.9549,0.951512,0.449954,2,0.0644391,1.04658,0.953948,2.05713,-1.2076,0.492454,0.0200131,0.375717,0.0478388
-17.9549,0.098148,1.46263,1,0.0644391,1.04658,0.953948,2.05713,-1.2076,0.492454,0.0200131,0.375717,0.0478388
-16.0184,0.980686,0.539236,1,-0.0132607,1.01339,0.494466,0.0864715,0.30444,0.410553,0.19226,-0.684264,0.0191358
-16.0184,9.40527e-127,1.85037,2,-0.0132607,1.01339,0.494466,0.0864715,0.30444,0.410553,0.19226,-0.684264,0.0191358
-16.7286,0.922397,0.541021,2,0.00604944,0.990118,0.607213,-0.124553,0.504386,-0.547461,-0.485454,-0.186938,0.0106424
-16.7286,0.000217208,1.57818,0,0.00604944,0.990118,0.607213,-0.124553,0.504386,-0.547461,-0.485454,-0.186938,0.0106424
-19.6295,0.863558,0.470384,2,0.117413,1.35529,1.67515,-0.201645,-0.0232525,-1.19424,-0.830908,-0.065321,0.00645066
-20.0355,1,1.17161,1,0.0621859,1.13362,1.14396,0.499321,2.20824,1.33869,0.223369,0.101151,0.0106378
-20.0355,0,4.00909,0,0.0621859,1.13362,1.14396,0.499321,2.20824,1.33869,0.223369,0.101151,0.0106378
-20.0355,0.605547,1.21669,1,0.0621859,1.13362,1.14396,0.499321,2.20824,1.33869,0.223369,0.101151,0.0106378
-20.0355,9.94845e-57,1.59462,1,0.0621859,1.13362,1.14396,0.499321,2.20824,1.33869,0.223369,0.101151,0.0106378
-18.5472,1,0.494851,2,0.271399,1.06378,0.696743,-0.48009,-1.90033,-1.26464,-0.130403,-0.034674,0.018562
-18.5472,4.77632e-22,1.64699,0,0.271399,1.06378,0.696743,-0.48009,-1.90033,-1.26464,-0.130403,-0.034674,0.018562
-18.5472,0,6.63558,-1,0.271399,1.06378,0.696743,-0.48009,-1.90033,-1.26464,-0.130403,-0.034674,0.018562
-18.5472,0,1.55973,0,0.271399,1.06378,0.696743,-0.48009,-1.90033,-1.26464,-0.130403,-0.034674,0.018562
-19.9513,0.978017,0.302552,2,0.766328,1.21929,-0.777526,0.739309,-0.173631,-1.07113,0.100788,0.314761,0.014822
