# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=0
# stan_version_patch=1
# init=random
# seed=202728319
# chain_id=3
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.65
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-17.7254,0.778618,0.866146,1,0.445899,0.972141,1.46759,-0.658082,1.10896,-0.156656,-0.915985,1.29654,0.665637
-17.7254,0,10.9434,-1,0.445899,0.972141,1.46759,-0.658082,1.10896,-0.156656,-0.915985,1.29654,0.665637
-17.7254,3.22568e-32,2.53445,0,0.445899,0.972141,1.46759,-0.658082,1.10896,-0.156656,-0.915985,1.29654,0.665637
-21.5907,0.97167,0.381941,2,-0.117092,1.34011,-2.05225,1.78443,-1.22854,0.0833017,2.03301,-1.4524,0.367654
-21.7158,0.887211,0.764247,1,0.451918,1.10309,-1.337,1.48858,-1.20154,-1.47645,2.13195,0.227523,0.0397593
-19.1497,0.000103906,1.39481,2,0.198187,1.48347,1.27721,-1.51388,0.837619,0.624663,-1.32965,0.605106,1.60177
-16.653,1,0.181518,4,0.0321108,0.968533,-0.98129,1.60196,-0.505765,-0.493533,1.02044,-0.735363,0.143253
-16.6332,0.960189,0.506067,1,0.363392,1.13053,0.178055,-1.23655,-0.0622704,-1.57855,0.615349,0.625825,1.32604
-16.6332,0.0333552,1.30516,1,0.363392,1.13053,0.178055,-1.23655,-0.0622704,-1.57855,0.615349,0.625825,1.32604
-16.5472,0.983595,0.184497,3,0.304977,0.986485,0.185165,0.794931,0.469638,-1.76653,0.597718,-0.680683,0.144486
# Adaptation terminated
# Step size = 0.583797
# Diagonal elements of inverse mass matrix:
# 0.0386495, 0.0279708, 0.741903, 1.21238, 1.07715, 0.698605, 1.14893, 1.34093, 2.00923
-15.7454,1,0.583797,1,0.173956,0.899095,0.563449,1.54407,0.485711,-0.266512,0.289593,0.252392,0.196905
-15.696,0.963192,0.583797,2,0.175153,0.975439,-0.201241,1.24583,1.65925,-0.258558,-0.119247,0.1014,0.249523
-15.7703,0.820478,0.583797,1,0.174834,0.992272,-0.656144,1.87471,-0.624276,-0.862413,0.204647,-0.0488593,0.473878
-17.3506,0.948588,0.583797,2,-0.266441,1.11919,0.989378,-2.14984,0.262193,0.686794,0.520898,0.352495,0.429693
-16.8782,1,0.583797,2,-0.119829,1.11727,0.83636,-1.48663,0.11608,0.917896,0.584666,0.712469,1.7088
-15.1119,1,0.583797,2,0.219601,1.15264,-0.779151,0.616266,-0.448806,-1.16883,-0.636211,-0.781933,0.255614
-16.0822,0.841762,0.583797,2,-0.0128963,1.0862,0.912533,0.577406,1.587,0.473197,0.51978,-0.144546,0.0900684
-18.9932,0.839071,0.583797,1,0.401717,0.99052,-1.74498,1.55421,-0.687062,-0.352906,0.626146,1.75066,0.833651
-19.1074,0.896347,0.583797,1,0.409103,1.77523,1.0143,0.553161,0.780404,1.32872,-0.062088,-0.665624,0.191886
-21.178,0.908693,0.583797,1,0.417507,2.03352,0.203742,1.45107,0.168145,1.05747,-1.34097,-0.143574,0.230647
-20.3606,0.94283,0.583797,1,0.222587,1.72106,0.849776,1.58476,-0.880421,-1.03849,-0.622743,1.73503,0.669206
-16.9499,0.976461,0.583797,1,0.171349,1.18853,-0.443276,-0.429052,0.3752,-0.27034,1.15744,-2.35995,0.364859
-16.431,1,0.583797,2,0.440286,0.964677,-1.21524,0.117821,0.876058,-0.840047,0.301135,0.761846,0.753274
-17.5012,0.908101,0.583797,2,0.229418,1.35704,-1.19997,0.52665,1.06566,-0.378365,1.98866,0.205123,0.289196
-16.5737,0.993348,0.583797,1,0.65429,1.14939,0.216795,-0.242905,0.568146,1.11233,0.23243,-0.301971,0.19911
-18.4183,0.818115,0.583797,1,-0.268264,1.04612,0.666522,0.634944,0.675909,-1.23511,-1.70454,-1.45512,0.926659
-16.9726,0.921968,0.583797,2,0.491539,1.15422,0.444184,-0.71932,-0.721793,1.06263,0.867313,1.50235,0.30857
-18.1037,0.974231,0.583797,2,-0.309306,1.04085,-0.195928,0.671653,0.751621,-1.19713,-0.907533,-1.93112,0.428734
-16.4824,0.905337,0.583797,1,0.185613,1.16121,-0.155948,0.18211,-0.257171,-0.580393,-1.00498,-1.32003,0.033577
-14.5288,0.659919,0.583797,2,0.110419,1.26127,0.290205,-0.333693,-0.527344,-0.175992,-0.915646,0.861393,0.797924
-17.9474,0.844117,0.583797,2,0.359718,1.2967,-1.15022,0.835305,1.19435,1.09058,0.944938,1.08714,1.33677
-15.4481,0.0589523,0.583797,2,0.191864,1.12338,-0.614573,0.202725,-1.39245,1.20363,0.523777,-0.306853,0.206044
-15.6142,0.927715,0.583797,2,0.0826496,1.08674,0.547891,-0.488976,0.471227,-0.246483,-0.626597,1.86843,0.973324
-14.1167,0.935517,0.583797,1,0.293696,1.16546,0.173541,-0.909169,-0.132256,-0.22273,-0.112334,0.772558,0.585778
-17.2092,0.714246,0.583797,2,0.107299,1.05859,-0.753743,0.185685,-0.769335,0.236001,1.413,2.26581,0.622
-15.8244,0.953512,0.583797,1,0.101603,1.19479,-0.330082,0.326495,0.435178,1.78791,-1.30277,0.237356,0.427378
-15.9118,0.904691,0.583797,2,0.0125994,0.898736,-0.947102,0.185719,-0.695209,-1.48282,-0.0330297,0.642833,0.40384
-18.2466,0.829936,0.583797,1,0.0758816,1.16336,1.16282,0.679834,-1.80253,0.703255,-0.769826,2.0455,0.418407
-16.6972,0.961655,0.583797,1,-0.0602149,1.15975,1.26824,1.20484,-0.740583,0.687545,-0.535771,0.515109,1.67042
-18.0065,1,0.583797,2,0.119557,1.05157,-2.08148,-1.24246,0.77603,-0.822902,-0.953448,-0.332114,0.0878303
-14.5987,1,0.583797,2,0.0963618,0.907361,-0.710852,-0.207416,0.419896,-0.735221,0.477756,-0.495362,0.383474
-15.5107,0.915859,0.583797,2,0.0547225,1.18977,0.60931,0.526966,-0.117057,1.39637,0.996587,1.04623,0.616778
-14.7911,0.971057,0.583797,1,-0.0204808,1.14587,0.714257,0.723408,0.531553,0.344744,0.469102,1.18132,0.794781
-16.8363,0.836547,0.583797,2,-0.0590714,1.27329,0.662192,0.0641049,0.220397,-0.379931,-2.35926,0.235999,0.277214
-17.089,0.950803,0.583797,1,-0.0976111,1.55153,-0.308083,-0.678232,0.0880213,0.683108,-0.389156,-1.11146,1.4268
-19.469,0.984943,0.583797,2,0.603237,1.04078,0.572502,1.27893,0.816172,-1.8416,-0.361443,0.80503,0.11138
-19.6496,0.986205,0.583797,2,0.183613,1.23163,3.02836,0.345719,-0.271107,-1.01217,-0.301066,0.342599,0.0740712
-20.2591,0.910103,0.583797,2,0.408665,1.40285,-2.55103,-0.371996,0.424301,0.95664,-1.79922,-0.315536,0.896361
-16.492,0.959734,0.583797,2,-0.0943643,0.986351,0.686552,-0.381108,1.31406,0.459506,0.0607228,-1.73634,0.282341
-20.3766,1,0.583797,2,0.339159,1.38715,-0.838657,-0.378587,-1.44392,0.70742,-2.35166,0.743023,0.0513245
-20.3218,0.89525,0.583797,2,0.267038,1.34157,1.54399,1.02614,-0.426216,2.90482,-0.839945,-0.339572,0.600135
-16.9006,0.974987,0.583797,1,0.112147,1.11583,1.50406,0.171341,-1.74289,0.341652,1.37322,-0.170421,0.232964
-15.7853,0.911592,0.583797,2,0.196653,1.28363,-0.610183,-0.0900332,1.67732,-0.408221,-0.827128,-0.11376,0.944851
-15.0715,0.933924,0.583797,2,0.0622243,0.960342,0.715063,-0.287534,-0.255377,0.21936,0.517017,1.57758,0.409951
-14.3286,0.848141,0.583797,1,0.145636,1.04639,-0.312015,-0.00850707,-0.205143,0.0923029,1.18492,0.0464575,1.20049
-17.1173,0.520927,0.583797,0,-0.113486,0.965765,-0.630552,-0.06995,1.02965,-1.37315,1.75333,-0.466104,0.629331
-16.9417,0.92362,0.583797,2,0.275352,1.27515,0.82352,-0.0216723,-1.01466,1.56786,-1.44098,0.564556,0.344421
-15.9445,0.872492,0.583797,2,-0.00507357,1.08908,0.784615,-1.01255,0.348982,-1.58847,1.07542,0.470165,0.654592
-18.5605,0.754052,0.583797,1,0.277324,1.00559,0.330159,-0.315454,-1.74232,0.943305,-0.977292,2.28182,0.476113
-19.9304,0.90185,0.583797,2,0.348078,0.963721,2.57625,0.209566,0.604164,0.363529,0.862308,1.70111,0.134862
